eBike,Pos,No.,Name,Team,Class,Time,Behind,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Stage 1  : Best,,Run 1,Run 2,Run 3,Run 4,Run 5,,Stage 2: Best,Run 1,Run 2,Run 3,Run 4,,,Stage 3: Best,,,,,,,,,,,,,,,,,,
0,29th,321,Becky CookTwitterInstagram,Orange Factory Racing,Manual | Female Elite,05:07.4,+0:34.93,02:29.8,02:00.1,01:55.5,01:49.8, , ,01:49.8,22nd,+0:12.24,02:26.8,02:15.1,02:11.6,02:09.8, ,02:09.8,31st=,+0:15.50,01:10.7,01:07.9, , ,01:07.9,40th,+0:09.43,,,,,,,,,,,,,,,,
0,30th,205,Karol PodufalskiInstagram, ,Manual | Male Elite,05:07.8,+0:35.38,01:54.5,01:52.5,01:49.9, , , ,01:49.9,23rd,+0:12.43,02:12.2,02:18.7, , , ,02:12.2,45th,+0:17.96,01:14.9,01:16.8,01:05.7, ,01:05.7,22nd,+0:07.23,,,,,,,,,,,,,,,,
0,31st,64,Myles Baldwin,FOD Night Riders,Manual | Male Master,05:08.6,+0:36.19,02:14.4,01:55.1,01:53.2, , , ,01:53.2,37th,+0:15.74,02:09.6,02:09.9,02:10.6, , ,02:09.6,29th=,+0:15.35,01:12.5,01:05.8, , ,01:05.8,24th,+0:07.34,,,,,,,,,,,,,,,,
0,32nd,221,Keiron WilliamsInstagram, ,Manual | Male Senior,05:09.7,+0:37.23,02:10.6,01:58.3,01:56.5,01:53.7,01:50.2, ,01:50.2,24th=,+0:12.70,02:15.1,02:13.1,02:11.9, , ,02:11.9,43rd,+0:17.64,01:08.0,01:07.6, , ,01:07.6,38th,+0:09.13,,,,,,,,,,,,,,,,
0,33rd,360,Elliot RobertsInstagram, ,Manual | Male Elite,05:09.9,+0:37.40,02:03.4,01:57.3,01:50.7, , , ,01:50.7,27th,+0:13.15,02:15.5,02:13.2, , , ,02:13.2,49th,+0:18.95,01:06.0,01:07.9,01:06.3, ,01:06.0,29th,+0:07.54,,,,,,,,,,,,,,,,
0,34th,135,Kyran Brittain, ,Manual | Male Master,05:10.5,+0:38.06,02:12.2,02:13.2,01:54.9,01:50.9, , ,01:50.9,28th,+0:13.40,02:28.1,02:09.1, , , ,02:09.1,26th,+0:14.86,01:10.5, , , ,01:10.5,63rd,+0:12.04,,,,,,,,,,,,,,,,
0,35th,282,Jacob Dobson, ,Manual | Male Senior,05:10.6,+0:38.16,02:28.6,01:52.2, , , , ,01:52.2,31st,+0:14.70,02:28.9,02:11.6,02:11.1, , ,02:11.1,39th,+0:16.81,01:11.9,01:09.7,01:07.4, ,01:07.4,35th,+0:08.89,,,,,,,,,,,,,,,,
0,36th,389,Sam Hartill, ,Manual | Male Senior,05:12.7,+0:40.25,02:02.6,01:59.5,01:57.0, , , ,01:57.0,60th,+0:19.49,02:12.2,02:06.1, , , ,02:06.1,21st,+0:11.85,01:43.2,01:09.6, , ,01:09.6,57th,+0:11.15,,,,,,,,,,,,,,,,
0,37th,219,Thomas Mayers, ,Manual | Male Senior,05:13.2,+0:40.73,02:39.6,01:53.8,02:01.2,01:56.9, , ,01:53.8,40th,+0:16.29,02:15.2,02:10.5, , , ,02:10.5,38th,+0:16.29,01:10.5,01:11.3,01:08.8, ,01:08.8,50th,+0:10.39,,,,,,,,,,,,,,,,
0,38th,228,Tom Jefferson,Risca Riders,Manual | Male Master,05:13.5,+0:41.03,02:14.9,02:01.8,01:56.7, , , ,01:56.7,56th,+0:19.18,02:23.3,02:14.1,02:10.8,02:10.3, ,02:10.3,35th,+0:16.00,01:10.9,01:09.0,01:06.5, ,01:06.5,30th,+0:08.09,,,,,,,,,,,,,,,,
